simetride	Simetrid
fatal accident	tödlicher Unfall|Unfall mit tödlichem Ausgang|Unfall mit Todesfolge
median time to tumour progression	mediane Zeit bis zur Progression
psychosocial work strain	psychosoziale Überlastung|mentale Überlastung
mental workstrain	psychosoziale Überlastung|mentale Überlastung
extracellular avenue	extrazellulärer Strom
CPR	Closed chest cardiac massage
closed-chest cardiopulmonary resuscitation	Closed chest cardiac massage
closed-chest cardiac massage	Closed chest cardiac massage
qigong master	Qigong-Meister
metastatic melanoma	metastasierendes Melanom
Factorial design	Faktorielles Design
sarpogrelate	Sarpogrelat
Putti operation	Putti-Operation
pheneticillin	Pheneticillin
body-worn hearing-aid	Taschenhörgerät
surgical	chirurgicalis
preformed DNA	vorgebildete DNA
ganglion cell axon	Ganglienzell-Axon
preformation	Präformation
intrathecal drug	intrathekales Arzneimittel
oral surgery	Kieferchirurgie
Concerted Action Committee	Ausschuss für die konzertierte Aktion
regional healthcare network	regionales Netz für die Gesundheitspflege
bone marrow mitosis	Knochenmarksmitose
autologous bone marrow transplantation	autologe Knochenmarktransplantation
rhodopsin	Rhodopsin
genome non-disjunction	Genomsnon-Disjunktion
cytolysis	Zytolyse
methyl pantothenic acid	Methylpantothensäure
narrowed conciousness	Bewusstseinseinengung
polymorphous	polymorph
polymorphic	polymorph
sacrospinalis muscle	musculus sacrospinalis|musculus erector spinae|Rueckenstrecker
erector spinae	musculus sacrospinalis|musculus erector spinae|Rueckenstrecker
carsatrin	Carsatrin
megalosaccharide	Megalosaccharid
emergence	Durchschneiden
RxDx	Theranostik
theranostics	Theranostik
etosalamide	Etosalamid
psychosocial work environment factor	psychosozialer Faktor der Arbeitsumgebung
palatoplasty	Uranoplastik
cytotoxicity	Zytotoxizität
lecirelin	Lecirelin
fibula	Fibula|Wadenbein
melioidosis	Melioidose
hybrid plant	Bastardpflanze
occupational exposure level	Arbeitsplatzkonzentration
nifurtimox	Nifurtimox
entorhinal cortex	entorhinale Rinde
frozen section	Gefrierschnitt
vegetable fat	pflanzliches Fett
Range of distribution	Verteilungsbreite
podiatrist	Podolog|Fußspezialist
chiropodist	Podolog|Fußspezialist
epoxide	Epoxid
multiclonal plantation	multiklonale Anpflanzung
Secondary contact	sekundäre Kontaktperson
grey	griseus
peep-show-audiometry	Peep-Show-Audiometrie|Guckkastenaudiometrie
cerebral blockage	Verschluß eines Hirn-Blutgefäßes
Chiari I herniation	Chiari-I-Malformation
Chiari malformation type I	Chiari-I-Malformation
Chiari I malformation	Chiari-I-Malformation
gall	Gallenflüssigkeit
nifuroxime	Nifuroxim
diagnostic department	Diagnostikbereich
molecular surgery	molekulare Chirurgie
symphalangy	Symphalangismus|Symphalangie
symphalangism	Symphalangismus|Symphalangie
batelapine	Batelapin
zifrosilone	Zifrosilon
cachet shell	Steckkapsel
nitroxinil	Nitroxinil
heightened clarity of thought	Intensivierung der Gedankenbildung
authorised medicated pre-mix	zugelassene Arzneimittelvormischung
Monday syndrome	Montagskrankheit|Montagssymptomatik
Monday fever	Montagskrankheit|Montagssymptomatik
Monday morning asthma	Montagskrankheit|Montagssymptomatik
Monday tightness	Montagskrankheit|Montagssymptomatik
Korean haemorrhagic fever	Koreanisches Hämorrhagisches Fieber
auxiliary inspectors who are not veterinarians	Fleischbeschauer, die keine Tierärzte sind
gustatory hallucinations	Geschmackshalluzinationen
prepared opium	zubereitetes Opium
betazole	Betazol
mexiprostil	Mexiprostil
plasminogen	Plasminogen
lymecycline	Lymecyclin
milodistim	Milodistim
physical medicine and rehabilitation physician	Physiater
PM&amp;R physician	Physiater
physical and rehabilitation specialist	Physiater
physiatrist	Physiater
place where fees are charged	Ort der Gebührenerhebung
neck of mandible	Unterkieferhals|Collum mandibulae
computational neuroscience	computergestützte Neurowissenschaft
albendazole	Albendazol
class I protein	Protein der Klasse I
pharmaco-toxicological standard	toxikologisch-pharmakologische Vorschrift
supratentorial	supratentoriell
fungal infection of the skin and mucous membranes	Pilzinfektion der Haut und der Schleimhaüte
anti-interferon antibody	Antiinterferon-Antikörper
lymphatic vessel	Lymphgefäß
method for maintenance of cell cultures	Verfahren zur Erhaltung der Zellkulturen
personal care product	Körperpflegemittel
predictive value	prädiktiver Wert
iofratol	Iofratol
coronary arterial spasm	Koronararterienspasmus
diminution of animal experimentation and control of veterinary vaccines	Verminderung von Tierversuchen und Kontrolle von Impfstoffen für Tiere|Einschränkung von Tierversuchen und Kontrolle von Impfstoffen für Tiere
monograph of the European Pharmacopoeia	Monographie des Europäischen Arzneibuches
amocarzine	Amocarzin
day relevant for a pension (sic)	Stichtag (Austria)
soya peptone medium	Sojapeptonmedium
basal layer	Stratum basale
etching	Aetzen
amoproxan	Amoproxan
CD14 molecule	CD14-Molekül
interpreter for the deaf	Taubstummendolmetscher
beta wave	Betawelle
Record linkage	Informationsverbund|Datenverbund
mating	Begattung
complement fixing antibody	komplementbindender Antikörper
occupational stress	beruflicher Stress|arbeitsbedingter Stress
WRS	beruflicher Stress|arbeitsbedingter Stress
work-related stress	beruflicher Stress|arbeitsbedingter Stress
viral infection of the skin and mucous membranes	Virusinfektion der Haut und der Schleimhaüte
batebulast	Batebulast
marker chromosome	Marker-Chromosom
puncture syringe	Punktionsspritze
weevil allergy	Kornkäferlunge
wheat weevil allergy	Kornkäferlunge
grain weevil allergy	Kornkäferlunge
excretion	Exkretion
matching	Matching|Zuweisung von statistischen Zwillingen
above-knee amputee	Oberschenkelamputierter
thigh amputee	Oberschenkelamputierter
oestradiol-benzoate	Östradiol-Benzoat
connective tissue	Bindegewebe
MMPI	Minnesota-Multiphasic-Personality-Inventory
Minnesota multiphasic personality inventory	Minnesota-Multiphasic-Personality-Inventory
Hazara virus	Hazara-Virus
flow cytometry	Cytoflussometrie|Durchflußcytometrie
dust tunnel	Staubkanal
PTH	PTH|Parathyreoidea-Hormon
parathyroid hormone	PTH|Parathyreoidea-Hormon
bentemazole	Bentemazol
chromosomal translocation	Verlagerung von Chromosomenstücken
heavy strand	schwerer Strang
Epstein pseudodiphtheria	Algosis faucium|Epstein Krankheit|Epstein Syndrom|Epstein Pseudodiphtherie
etanidazole	Etanidazol
cedar poisoning	Zedernholz-Asthma
cedar wood asthma	Zedernholz-Asthma
pasture management in arid areas	Bewirtschaftung von Weiden in Dürregebieten
post-marketing experience/data	Erkenntnisse nach der Markteinführung|Anwendungsdaten
phonocardioscope	Phonokardioskop
the gene controls the shift from silent infection to active viral growth	das Gen steuert den Übergang von der stummen Infektion zur aktiven Virusvermehrung
medicinal herb	Heilkraut
Fluoxetine	Fluoxetin|Fluctin
Prozac	Fluoxetin|Fluctin
carbon monoxide diffusion capacity,single-breath method	DlCO SB,Diffusionskapazität für Kohlenmonoxid,single-breath
absinth	Wermut|Absinth
Shoe-leather epidemiology	Feldepidemiologie
fraternal twins	zweieiige Zwillinge
biovular twins	zweieiige Zwillinge
non-identical twins	zweieiige Zwillinge
dizygotic twins	zweieiige Zwillinge
hydroxypethidine	Hydroxypethidin
music therapy	Musiktherapie
multiple transfusions	Polytransfusionen
supportive cell	Stützzelle|stützende Zelle
supporting cell	Stützzelle|stützende Zelle
incision of organs	Anschneiden von Organen
zuclomifene	Zuclomifen
avidity	Avidität
gall-bladder trocar	Gallentrokar
nursery	Neugeborenenzimmer
hospital nursey	Neugeborenenzimmer
neonatal room	Neugeborenenzimmer
biointegration	Bio-Integration
viral inactivation	Inaktivierung von Viren
wine weevil	gefurchter Dickmaulrüßler
patient's room	Krankenzimmer
post-decompression shock	Schock nach einem Druckfall
post-descent shock	Schock nach einem Druckfall
post-decompression syndrome	Schock nach einem Druckfall
stomach tube	Magensonde|Magenschlauch
premature dentition	Dentia praecox|Dentitio praecox
section	Schnitt|Sectio|Inzision
polyneuritis	Polyneuritis
peripheral polyneuropathy	Polyneuritis
scientific committees	Wissenschaftlicher Beirat|wissenschaftliche Ausschüsse
limited consciousness	Bewusstseinseinengung
cytomegalovirus infection	Infektion durch das Zytomegalie-Virus
hydrotherapist	medizinischer Bademeister
prostate tissue	Prostata-Gewebe
prostatic tissue	Prostata-Gewebe
radiologist	Roentgenologe
medical radiologist	Roentgenologe
drug precursor chemical	Drogenvorprodukt|Drogengrundstoff
bronchial asthma	Asthma bronchiale|Asthma essentiale|Bronchialasthma|Asthma nervosum|Asthma verum
oxacillin	Oxacillin
local health unit	Lokale Verwaltungsstelle für Gesundheitswesen
maximal dose	Maximaldosis
ftalofyne	Ftalofyn
WRULD	Muskel- und Skeletterkrankung
work-related upper limb disorder	Muskel- und Skeletterkrankung
CTD	Muskel- und Skeletterkrankung
cumulative trauma disorder	Muskel- und Skeletterkrankung
repetitive stress injury	Muskel- und Skeletterkrankung
RSI	Muskel- und Skeletterkrankung
repetitive strain injury	Muskel- und Skeletterkrankung
dhea	DHEA|Dehydroepiandrosteron|Dehydroisoepiandrosteron
dehydroepiandrosterone	DHEA|Dehydroepiandrosteron|Dehydroisoepiandrosteron
carbofenotion	Carbofenotion
disposable ward procedure pack	Einweg-Verbandsset
generator	Generator
phenazone	Phenazon
dotarizine	Dotarizin
carpronium chloride	Carproniumchlorid
lack of self confidence	mangelndes Selbstwertgefühl|mangelndes Selbstvertrauen
lack of sense of personal worth	mangelndes Selbstwertgefühl|mangelndes Selbstvertrauen
nicardipine	Nicardipin
outer ear	Außenohr|äußeres Ohr|Auris externa
external ear	Außenohr|äußeres Ohr|Auris externa
anaesthetic reservoir bag	Anästhesie-Reservoirbeutel
Social drift	sozialer Abstieg
slit lamp	Schlitzlampe|Spaltlampenmikroskop|Spaltlampe
RNA chromosome	RNA Chromosom
peptonization	Peptonisation|Peptonisierung
particular sensitivity to noise	besondere Lärmempfindlichkeit
susceptibility to noise	besondere Lärmempfindlichkeit
alpha-1 antitrypsin test	Alpha-1-Antitrypsin-Test
rabbit septicaemia	Kaninchenseptikämie
disease diagnosis	Seuchendiagnose
zosterian encephalitis	Zosterenzephalitis
overwintering	Überwinterung
pantoprazole	Pantoprazol
etabenzarone	Etabenzaron
bilateral interstitial syndrome	bilaterale interstitielle Pneumonie
bilateral interstitial pneumonia	bilaterale interstitielle Pneumonie
poison gas	Kampfgas|Kampfgift|Kampfstoff
war gas	Kampfgas|Kampfgift|Kampfstoff
inducible enzyme	induzierbares Enzym
adaptive enzyme	induzierbares Enzym
fenspiride	Fenspirid
glucose syrup with a high fructose content	GSHFG|Glukosesirup mit hohem Fruktosegehalt
high fructose glucose syrup	GSHFG|Glukosesirup mit hohem Fruktosegehalt
high-fructose glucose syrup	GSHFG|Glukosesirup mit hohem Fruktosegehalt
HFGS	GSHFG|Glukosesirup mit hohem Fruktosegehalt
castrating clam	Kastrierzange
castrating clamp	Kastrierzange
anticoagulant	Antithrombotikum|Gerinnungshemmer|Antikoagulator|Antikoagulans|Antikoagulantium|Antikoagulationsmittel
anti-coagulant	Antithrombotikum|Gerinnungshemmer|Antikoagulator|Antikoagulans|Antikoagulantium|Antikoagulationsmittel
anticoagulant drug	Antithrombotikum|Gerinnungshemmer|Antikoagulator|Antikoagulans|Antikoagulantium|Antikoagulationsmittel
sodium ascorbate	Natriumascorbat|E 301
E 301	Natriumascorbat|E 301
reading glasses	Nahbrille
puerperium	Kind-|Puerperium|Wochenbett
sacral canal	Sakralkanal|Canalis sacralis
immunogram	Immunogramm|IMG
IMG	Immunogramm|IMG
Hellin's law	Hellin Gesetz|Hellin Regel|Hellin Formel
cis-acting rev-responsive sequence	CAR|CAR-Abschnitt|Nukleotidsequenz|cis-aktive,auf rev reagierende Sequenz|CAR-Sequenz
CAR sequence	CAR|CAR-Abschnitt|Nukleotidsequenz|cis-aktive,auf rev reagierende Sequenz|CAR-Sequenz
CAR nucleotide sequence	CAR|CAR-Abschnitt|Nukleotidsequenz|cis-aktive,auf rev reagierende Sequenz|CAR-Sequenz
coccygeal	coccygealis
simian AIDS	AIDS bei Affen
SAIDS	AIDS bei Affen
pyroxamine	Pyroxamin
ketocaine	Ketocain
pulmonary reabsorption of benzopyrene	pulmonale Resorption von Benzo(a)pyren
transient ECG change	vorübergehende EKG-Veränderung
xenoestrogen	Xenoöstrogen
radium menolysis	Radiummenolyse
in parallel	parallel geschaltet
connected in parallel	parallel geschaltet
off-label medicine	Off-Label-Arzneimittel
FSD	FHA|Focus-Haut-Abstand
focus-skin-distance	FHA|Focus-Haut-Abstand
test with the unknown corpuscles	Test mit den unbekannten Blutkörperchen
first-instar larva	Eilarve
egg-larva	Eilarve
immunogenetics	Immunogenetik
induced mutation	induzierte Mutation
genotoxic damage	induzierte Mutation
vocal folds vibration	Stimmlippenschwingung
quiescent incapacity	bleibende Behinderung|dauernde Behinderung
static incapacity	bleibende Behinderung|dauernde Behinderung
arrested incapacity	bleibende Behinderung|dauernde Behinderung
ansoxetine	Ansoxetin
camomile	Kamille
chamomile	Kamille
specific risk	spezifisches Risiko
biological sample	biologische Probe
sulfinpyrazone	Sulfinpyrazonum|Sulfinpyrazon
sometribove	Sometribove
legal transfer	vertragliche Übertragung
microscopic cancer	mikroskopische Tumor
prednicarbate	Prednicarbat
acquisition and disposal of drugs	Erwerb und Weitergabe von Rauschmitteln
liquified gas	verflüssigtes Gas
public idiotype	Idiotyp außerhalb der Antikörperanbindungsstelle
norm	Norm|Standard
standard	Norm|Standard
audible sound	Hörschall
basic laboratory	einfaches Labor
central deafness	zentrale Taubheit|zentrale Hörstörung|zentrale Schwerhoerigkeit
central hearing loss	zentrale Taubheit|zentrale Hörstörung|zentrale Schwerhoerigkeit
coronary thrombosis	Koronarien-Thrombose
eberconazole	Eberconazol
European Drugs Information Unit	Europäische Stelle für Drogeninformation
saccadic movement	ruckartige Augenbewegung
complication rate	Anzahl der Komplikationen
carnitin	Carnitin
carnitine	Carnitin
clazuril	Clazuril
suberization	Verkorkung
mosapramine	Mosapramin
mediator for immune response	Mediator der Immunreaktion|Vermittler der Immunreaktion
treatment methods	Behandlungsmethoden
ACTH	Adrenokortikotrophin
adrenocorticotrophin	Adrenokortikotrophin
ophthalmology	Augenheilkunde
vasodilation	Blutgefäßerweiterung|Vasodilatation
maximum residue limits of veterinary medicinal products in foodstuffs of animal origin	Höchstmengen für Tierarzneimittelrückstände in Nahrungsmitteln tierischen Ursprungs
memory system	Gedächtnissystem
X-ray tube assembly	Röntgenstrahler
one-wheeled bicycle	Fahrrad mit einem Rad
Frequency matching	Matching nach der Häufigkeit der Indexpersonen
dorsal root ganglion	Intervertebralganglion|Spinalganglion
spinal ganglion	Intervertebralganglion|Spinalganglion
doxorubicin	Doxorubicin
myosclerosis	Myosklerose
global EU response to COVID-19	globale Reaktion der EU auf COVID-19
inflation	Aufblähung|Inflation
merafloxacin	Merafloxacin
hereditary disease	Erbkrankheit|Erbleiden|Heredopathie
portable pneumo-thorax apparatus	tragbarer Pneumothoraxapparat
sex inheritance	Geschlechtsvererbung
hypotonia	Hypotonus|Hypomyotonie|Hypotonia|Hypotonie
distracting technics	Ablenkungstechniken|Ablenkungsmanoever
bifemelane	Bifemelan
brommelains	Bromelaine
erythromycin	Erythromycin
grades of ocular reaction	Stärke der Augenreaktion
A site	A-Site
marginals	Marginale
YLD	YLD|Lebensjahre mit Behinderung
years lived with disability	YLD|Lebensjahre mit Behinderung
care of the elderly	Altenpflege
elder care	Altenpflege
thiotetrabarbital	Thiotetrabarbital
hRSV	Humanes Orthopneumovirus|RSV|respiratorisches Syncytialvirus|RS-Virus|Respiratory-Syncytial-Virus
human orthopneumovirus	Humanes Orthopneumovirus|RSV|respiratorisches Syncytialvirus|RS-Virus|Respiratory-Syncytial-Virus
